,序号,字典项,字典项名称,产品范围
,,1,新开户,
,,2,账号登记,
,,5,正在销户,
,,6,销户,
,,A,挂失,
,,D,冻结,
,,F,开户失败,
,,G,冻结且挂失,
,37,C00008,基金账号状态,
,,0,正常,
,,1,新开户,
,,2,账号登记,
,,5,正在销户,
,,6,销户,
,,A,挂失,
,,D,冻结,
,,F,开户失败,
,,G,冻结且挂失,
,,I,取消登记,
,38,C00009,巨额赎回标志,
,,0,放弃超额部分,
,,1,继续赎回,
,39,C00010,投资人风险承受能力,
,,1,安全型,
,,2,保守型,
,,3,稳健型,
,,4,积极型,
,,5,进取型,
,40,C00011,合同类型,
,,1,电子,
,,2,纸质,
,41,C00012,资金业务大类,
,,800,资金存入,
,,801,支票存入,
,,802,资金到帐,
,,803,利息归本,
,,804,资金支出,
,,805,资金调整,
,,806,资金调增,
,,807,资金调减,
,,808,资金清退,
,,809,资金支出失败,
,,850,资金存入,
,,851,资金支出,
,,852,交易变动,
,,020,认购申请,
,,120,认购确认,
,,021,预约认购,
,,130,认购结果确认,
,,022,申购申请,
,,023,预约申购,
,,122,申购确认,
,,053,撤销申请,
,,124,赎回确认,
,,142,强制赎回,
,,143,红利发放,
,,149,募集失败,
,,150,基金清盘,
,,151,基金终止,
,,039,定期定额申购,
,,139,定期定额申购确认,
,,195,定期定额赎回确认,
,,235,快速过户,
